prefix,truth,prediction,exact_match,bleu,levenshtein,meteor,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VALOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parãmetro
     * será um vetor. Este quantificador é definido pelo operador '[]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[] exemploQuantificador(inteiro param1[])
     *      {
     *           escreva(""O quantificador da função é VETOR."")
     *           escreva(""O quantificador do parâmetro 'param1' também é VETOR."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VETOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será uma matriz. Este quantificador é definido pelo operador '[][]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[][] exemploQuantificador(inteiro param1[][])
     *      {
     *           escreva(""O quantificador da função é MATRIZ."")
     *           escreva(""O quantificador do parâmetro 'param1' também é MATRIZ."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    MATRIZ
",},0.0,0.00375624273515774,0.999450247388675,0.059055118110236234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VALOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parãmetro
     * será um vetor. Este quantificador é definido pelo operador '[]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[] exemploQuantificador(inteiro param1[])
     *      {
     *           escreva(""O quantificador da função é VETOR."")
     *           escreva(""O quantificador do parâmetro 'param1' também é VETOR."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    VETOR, 
",/**,0.0,0.008014211681341947,0.9991896272285251,0.10968049594659039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.cocos.bcx_sdk.bcx_entity;


/**
 * 账户类型
 */
","public enum AccountType {
",public class User {,0.0,0.031018094303871525,0.96,0.05747126436781609,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
"package cz.cas.lib.arclib.domain;

import lombok.Getter;

/**
 * Stav spracovania d√°vky
 */
","@Getter
",public class Spracovania {,0.0,0.034593348272501254,1.0,0.31165311653116534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package per.goweii.basic.core.common;

/**
 * 可变的参数
 *
 * @author Cuizhen
 */
","public final class Config {
",public class Common,0.0,0.026149980317261436,0.9702970297029703,0.053763440860215055,0.6666666666666666,0.4,0.49999999531250006,0.0,0.0,0.0,0.6666666666666666,0.4,0.49999999531250006
"package com.zhonghuasheng.designpattern.reactor;

/**
 * 枚举类型。表示事件的不同类型。
 */
","public enum EventType {
",public class Reactor {,0.0,0.02210318133150438,0.9741379310344828,0.05,0.5,0.5,0.4999999950000001,0.0,0.0,0.0,0.5,0.5,0.4999999950000001
"package help.lixin.starlink.plugin.credential.event.opaque;

import io.eventuate.tram.events.common.DomainEvent;

/**
 * @Author: 伍岳林
 * @Date: 2024/5/24 下午7:36
 * @Description
 */
","public interface ISysOpaqueCredentialEvent extends DomainEvent {
",public class EventuatePlugin {,0.0,0.016397439125429066,0.9681818181818181,0.19206706706706708,0.5,0.3333333333333333,0.39999999520000007,0.0,0.0,0.0,0.5,0.3333333333333333,0.39999999520000007
"/**Nao implementado*/


","package jogodavelha;
",# 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


","    public ComputadorModoB(int jogador) {
",```,0.0,0.1392195588154694,0.9705882352941176,0.5048095129894722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


    public ComputadorModoB(int jogador) {
        super(jogador);
        System.out.println(""O jogador [ computador ] acabou de ser criado.""); //impressão com salto de linha
","    }
",},0.0,0.01095935792420489,1.0,0.04201680672268908,1.0,1.0,0.999999995,0.0,0.0,0.0,1.0,1.0,0.999999995
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


    public ComputadorModoB(int jogador) {
        super(jogador);
        System.out.println(""O jogador [ computador ] acabou de ser criado.""); //impressão com salto de linha
    }



    @Override
    public void jogar(Tabuleiro tabuleiro) {
        Tentativa(tabuleiro);
        tabuleiro.setPosicao(tentativa, jogador);

    }

    @Override
    public void Tentativa(Tabuleiro tabuleiro) { //era privado


","        tentativa[0] = 1;
",},0.0,0.011195385893887255,1.0,0.11477272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
","	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;
",public void selectAgentInfo(PryAgentInfoVO vo) throws Exception;,0.0,0.035576145331081596,0.9939024390243902,0.2729203793279023,0.6666666666666666,0.5714285714285714,0.6153846104142012,0.4,0.3333333333333333,0.36363635867768596,0.6666666666666666,0.5714285714285714,0.6153846104142012
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
",public void updateProxyServerVO(ProxyServerVO vo) throws Exception ;,0.0,0.026928832252661655,0.9965665236051502,0.254421768707483,0.42857142857142855,0.5,0.4615384565680473,0.16666666666666666,0.2,0.18181817685950424,0.42857142857142855,0.5,0.4615384565680473
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
","	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
",public void selectPryAgtInfo(AgentInfoVO vo) throws Exception;,0.0,0.03879975388128646,0.9959058341862845,0.29705397334759553,0.6666666666666666,0.5714285714285714,0.6153846104142012,0.4,0.3333333333333333,0.36363635867768596,0.6666666666666666,0.5714285714285714,0.6153846104142012
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
",public void selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;,0.0,0.0378959087028396,0.9970993473531544,0.30501837270341214,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.4,0.4,0.3999999950000001,0.6666666666666666,0.6666666666666666,0.6666666616666668
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;
",public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;,0.0,0.03482063869748976,0.9956548727498448,0.2644186575654152,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;

	/**
	 * Agent 실행
	 * @param dbServerInfo
	 * @throws Exception
	 */
","	public void agentInfoStartMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;
",public void updateAgentInfo(AgentInfoVO vo) throws Exception;,0.0,0.0067713533559236845,0.9972082635399219,0.07891414141414142,0.5,0.3,0.3749999953125,0.2,0.1,0.13333332888888905,0.5,0.3,0.3749999953125
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;

	/**
	 * Agent 실행
	 * @param dbServerInfo
	 * @throws Exception
	 */
	public void agentInfoStartMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;

	/**
	 * Agent 종료
	 * @param dbServerInfo
	 * @throws Exception
	 */
","	public void agentInfoStopMng(String strSocketIp, String strSocketPort) throws Exception ;
","public void agentInfoEndMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;",0.0,0.022979694351869986,0.9974502804691484,0.2066007528882351,0.7,0.7777777777777778,0.7368421002770082,0.4,0.5,0.4444444395061729,0.7,0.7777777777777778,0.7368421002770082
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
","	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;
",},0.0,0.02762849439212409,0.9968253968253968,0.26124936366118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

","public interface SystemService {
",# 한글 정보를 저장하는 방법,0.0,0.00542746345166405,0.9935064935064936,0.04184100418410043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
