prefix,truth,prediction
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    VALOR, 
","VALOR,"
"package br.univali.portugol.nucleo.asa;

/**
 * Utilizado em declarações de funções para quantificar os parâmetros e o retorno 
 * da função.
 * 
 * @author Luiz Fernando Noschang
 * @version 1.0
 */
public enum Quantificador
{
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parâmetro
     * será um único valor.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro exemploQuantificador()
     *      {
     *           escreva(""O quantificador desta função é: VALOR"")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
    VALOR, 
    
    /**
     * Esta enumeração define que o valor retornado na função ou recebido por parãmetro
     * será um vetor. Este quantificador é definido pelo operador '[]'.
     * <p>
     * Exemplo:
     * <code><pre>
     * 
     *      funcao inteiro[] exemploQuantificador(inteiro param1[])
     *      {
     *           escreva(""O quantificador da função é VETOR."")
     *           escreva(""O quantificador do parâmetro 'param1' também é VETOR."")
     *      }
     * 
     * </pre></code>
     * 
     * @since 1.0
     */
","    VETOR, 
","VETOR,"
"package com.cocos.bcx_sdk.bcx_entity;


/**
 * 账户类型
 */
","public enum AccountType {
",public enum AccountType {
"package cz.cas.lib.arclib.domain;

import lombok.Getter;

/**
 * Stav spracovania d√°vky
 */
","@Getter
",public enum ProcessingStatus {
"package per.goweii.basic.core.common;

/**
 * 可变的参数
 *
 * @author Cuizhen
 */
","public final class Config {
",public class VarArgs {
"package com.zhonghuasheng.designpattern.reactor;

/**
 * 枚举类型。表示事件的不同类型。
 */
","public enum EventType {
",public enum EventType {
"package help.lixin.starlink.plugin.credential.event.opaque;

import io.eventuate.tram.events.common.DomainEvent;

/**
 * @Author: 伍岳林
 * @Date: 2024/5/24 下午7:36
 * @Description
 */
","public interface ISysOpaqueCredentialEvent extends DomainEvent {
",public class CredentialOpaqueEvent implements DomainEvent {
"/**Nao implementado*/


","package jogodavelha;
",
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


","    public ComputadorModoB(int jogador) {
","public ComputadorModoB(String nome, String cor) {"
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


    public ComputadorModoB(int jogador) {
        super(jogador);
        System.out.println(""O jogador [ computador ] acabou de ser criado.""); //impressão com salto de linha
    }



    @Override
    public void jogar(Tabuleiro tabuleiro) {
        Tentativa(tabuleiro);
        tabuleiro.setPosicao(tentativa, jogador);

    }

    @Override
    public void Tentativa(Tabuleiro tabuleiro) { //era privado


","        tentativa[0] = 1;
",if (tabuleiro.getTabuleiro()[0][0] == 0) {
"/**Nao implementado*/


package jogodavelha;

public class ComputadorModoB extends Computador { //herança jogador


    public ComputadorModoB(int jogador) {
        super(jogador);
        System.out.println(""O jogador [ computador ] acabou de ser criado.""); //impressão com salto de linha
","    }
",}
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
","	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;
",public PryAgentInfoVO insertPryAgtInfo(PryAgentInfoVO vo) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
","	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
",public void updatePryAgtInfo(AgentInfoVO vo) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
","	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;
",public AgentInfoVO getAgentInfo(PryAgentInfoVO AgentInfoVO) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;
",public ProxyServerVO selectDBMSSvrMasterNmInfo(ProxyServerVO vo) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;

	/**
	 * Agent 실행
	 * @param dbServerInfo
	 * @throws Exception
	 */
","	public void agentInfoStartMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;
",public void runAgent(String dbServerInfo) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
",public ProxyServerVO selectPrySvrMaxNmInfoByDbms(ProxyServerVO vo) throws Exception;
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

","public interface SystemService {
",public interface ProxyServerService {
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrMaxNmInfo(ProxyServerVO vo) throws Exception;
	
	/**
	 * Proxy DBMS 별 마스터 중 최종 서버명 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
	public ProxyServerVO selectDBMSSvrEtcMaxNmInfo(ProxyServerVO vo) throws Exception;

	/**
	 * Agent 실행
	 * @param dbServerInfo
	 * @throws Exception
	 */
	public void agentInfoStartMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;

	/**
	 * Agent 종료
	 * @param dbServerInfo
	 * @throws Exception
	 */
","	public void agentInfoStopMng(String strSocketIp, String strSocketPort) throws Exception ;
","public void agentInfoStopMng(String strSocketIp, String strSocketPort, String strVersion) throws Exception ;"
"package com.experdb.proxy.db.repository.service;

import com.experdb.proxy.db.repository.vo.AgentInfoVO;
import com.experdb.proxy.db.repository.vo.ProxyServerVO;
import com.k4m.dx.tcontrol.db.repository.vo.PryAgentInfoVO;

/**
* @author 최정환
* @see
* 
*      <pre>
* == 개정이력(Modification Information) ==
*
*   수정일       수정자           수정내용
*  -------     --------    ---------------------------
* 
*      </pre>
*/

public interface SystemService {
	/**
	 * proxy Agent 설치정보 조회
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public PryAgentInfoVO selectPryAgtInfo(PryAgentInfoVO vo) throws Exception;

	/**
	 * Agent 설치 정보 등록
	 * 
	 * @param AgentInfoVO
	 * @return AgentInfoVO
	 * @throws Exception
	 */
	public void insertPryAgtInfo(AgentInfoVO vo) throws Exception ;

	/**
	 * Agent 설치 정보 수정
	 * 
	 * @param AgentInfoVO
	 * @throws Exception
	 */
	public void updatePryAgtInfo(AgentInfoVO vo) throws Exception ;
	
	/**
	 * proxy max 이름 조회
	 * 
	 * @param ProxyServerVO
	 * @return ProxyServerVO
	 * @throws Exception
	 */
","	public ProxyServerVO selectPrySvrMaxNmInfo(ProxyServerVO vo) throws Exception;
",public ProxyServerVO selectMaxProxyName(ProxyServerVO vo) throws Exception;
"import ch.asit_asso.extract.plugins.common.ITaskProcessor;
import ch.asit_asso.extract.plugins.sample.SamplePlugin;

module ch.asit_asso.extract.plugins.sample {
    provides ITaskProcessor
            with SamplePlugin;

    requires ch.asit_asso.extract.commonInterface;

    requires com.fasterxml.jackson.core;
    requires com.fasterxml.jackson.databind;
    requires org.apache.commons.io;
    requires org.apache.commons.lang3;
    requires org.slf4j;
    //requires ch.qos.logback.classic;
","}
",requires java.desktop;
"package org.aspcfs.controller;

import java.util.ArrayList;

public class Tree {

	/**
	 * NOME DELLA TABELLA CHE MAPPA L'ALBERO
	 */
	
","	private String nomeTabella ;
","public static final String TABLE_NAME = ""albero"";"
"package org.aspcfs.controller;

import java.util.ArrayList;

public class Tree {

	/**
	 * NOME DELLA TABELLA CHE MAPPA L'ALBERO
	 */
	
	private String nomeTabella ;
	private String descrizione ;
	/**
	 * LISTA DEI NODI DI PRIMO LIVELLO DELL'ALBERO
	 */
","	private ArrayList<Nodo> listaNodi = null ;
",private ArrayList<Node> nodiPrimoLivello ;
"package com.lifei.algorithms.chapter1_1;

/**
 * 题目：
 * 1.1.2给出以下表达式的值:
	a.( 0 + 15 ) / 2
 * @author LiFei
 *
 */
","public class Exercise_36 {
",public class Question1_1_2 {
"package crackedegg;

import battlecode.common.GameActionException;
import battlecode.common.RobotController;

// HUGELY TODO

","public class Amplifier extends Robot
",public class CrackerEgg {
"package dev.latvian.mods.kubejs.util;

// TODO: Remove
","public enum JSObjectType {
",public class KubeJSConstants {
"package cz.geokuk.util.index2d;


public class XNalezeno extends RuntimeException {

  /**
   * 
   */
  private static final long serialVersionUID = -1329207585553667294L;
  // TO není výjimka, ale my neumíme jinak končit
","  Sheet<?> sheet;
",//
"package com.study;

import java.util.Hashtable;

public class HashTableEx {

	
	private static final String names[]= {
		""플라톤"", ""소크라테스"", ""공자"", ""맹자"", ""아리스토텔레스"" 	
	};
	
	private static final String tel[]= {
			""01024173795"", ""1111"", ""2222"", ""3333"", ""4444"" 	
		};
	
	public static void main(String[] args) {
		Hashtable<String, String> ht = new Hashtable<String, String>();
		
		for(int i = 0; i < names.length; i++) {
			ht.put(names[i], tel[i]);
		}
		
		System.out.println(ht);
		
		String str = ht.get(""플라톤"");

		if(str != null) {
			System.out.println(str);
		}
		
		
		//키가 존재하는지 검색
		
","		if(ht.containsKey(""맹자13"")) {
","if(ht.containsKey(""플라톤"")) {"
"package lsfusion.server.data.translate;

public interface TranslateValues<T extends TranslateValues<T>> {

    T translateValues(MapValuesTranslate translate);

    // трансляция с ""удалением"" values, нужно для борьбы с memoryLeak'ами
","    // реализация спорная, так как ассертит что mapp'инг против которого идет борьба всегда вверху
","T translateValues(MapValuesTranslate translate, boolean removeValues);"
"package lsfusion.server.data.translate;

public interface TranslateValues<T extends TranslateValues<T>> {

    T translateValues(MapValuesTranslate translate);

    // трансляция с ""удалением"" values, нужно для борьбы с memoryLeak'ами
    // реализация спорная, так как ассертит что mapp'инг против которого идет борьба всегда вверху
","    T translateRemoveValues(MapValuesTranslate translate);
","// а значит, если мы не удаляем, то мы не можем удалить"
"package com.taoyuanx.littlefile.combine.core.sign;

import java.util.Arrays;
import java.util.HashMap;
import java.util.Map;

/**
 * 文件类型
 */
","public enum FileTypeEnum {
",public enum FileType {
"package com.taoyuanx.littlefile.combine.core.sign;

import java.util.Arrays;
import java.util.HashMap;
import java.util.Map;

/**
 * 文件类型
 */
public enum FileTypeEnum {
    //无需过期时间
","    PUBLIC(1, ""公共文件""),
","NONE(0, ""无过期时间""),"
"package com.taoyuanx.littlefile.combine.core.sign;

import java.util.Arrays;
import java.util.HashMap;
import java.util.Map;

/**
 * 文件类型
 */
public enum FileTypeEnum {
    //无需过期时间
    PUBLIC(1, ""公共文件""),
    //访问签名,带过期时间
","    SYETEM(2, ""系统文件"");
","ACCESS(2, ""访问签名""),"
"package dynamilize;

/**经过包装的委托调用函数接口，与{@linkplain Function 函数}不同，委托不接收this指针*/
","@FunctionalInterface
",public interface DelegatedFunction extends Function {
"package org.crue.hercules.sgi.csp.repository.specification;

import org.crue.hercules.sgi.csp.model.Proyecto;
import org.crue.hercules.sgi.csp.model.ProyectoEntidadFinanciadora;
import org.crue.hercules.sgi.csp.model.ProyectoEntidadFinanciadora_;
import org.springframework.data.jpa.domain.Specification;

public class ProyectoEntidadFinanciadoraSpecifications {

  /**
   * {@link ProyectoEntidadFinanciadora} del {@link Proyecto} con el id indicado.
   * 
   * @param id identificador del {@link Proyecto}.
   * @return specification para obtener las {@link ProyectoEntidadFinanciadora}
   *         del {@link Proyecto} con el id indicado.
   */
","  public static Specification<ProyectoEntidadFinanciadora> byProyectoId(Long id) {
",public static Specification<ProyectoEntidadFinanciadora> proyectoEntidadFinanciadoraId(Long id) {
"package modelo.persistencia;



import modelo.jogo.CartaAbstrata;
import modelo.jogo.Jogador;

import java.sql.Connection;
import java.util.List;

public interface MapeadorEntidadesDoJogo
{
    public List<CartaAbstrata> obterCartasDoAcervo( Connection conexao );
    public List<CartaAbstrata> filtrarAcervo( Connection conexao, int filtro );
    public boolean autenticarJogador( Connection conexao, Jogador jogador );
    public boolean salvarJogador( Connection conexao,Jogador jogador );
    public Jogador pesquisarPorChave( Connection conexao,String id );//ta pelo ""nome"" para não quebrar a versão RepositorioMemoria, depois só mudar
",},"public boolean removerJogador( Connection conexao, String id );"
"package raytracer.shader;

import raytracer.basic.ColorEx;
import raytracer.basic.Intersection;

/**
 * Ein Shader liefert Informationen �ber die Farbe eines Objekts zu einem
 * darauf geschossenen Strahl.
 * 
 * @author Mathias Kosch
 * 
 */
","public interface Shader
",public interface Shader {
"package raytracer.shader;

import raytracer.basic.ColorEx;
import raytracer.basic.Intersection;

/**
 * Ein Shader liefert Informationen �ber die Farbe eines Objekts zu einem
 * darauf geschossenen Strahl.
 * 
 * @author Mathias Kosch
 * 
 */
public interface Shader
{
    
    /**
     * Ermittelt den Farbwert zu einem Schnittpunkt mit dem Strahl in einem
     * <code>Intersection</code>-Objekt.
     * 
     * @param intersection Informationen �ber den Schnitt.
     * @return Farbwert am Schnittpunkt mit dem Strahl.
     */
","    ColorEx shade(Intersection intersection);
",public ColorEx shade(Intersection intersection);
"/**
 * <p>
 * Zabbix APIのHostgroupを操作するためのエンティティクラスです。
 * </p>
 */
","package jp.primecloud.auto.zabbix.model.hostgroup;
",@Entity
"package pl.edu.icm.saos.common.testcommon.category;

/**
 * @author ≈Åukasz Dumiszewski
 */

","public interface FastTest {
",public interface IntegrationTest {
"package UD03;

public class Organizacion_sentencias_2 {
    public static void main(String[] args) {
        // Zona de declaración de variables
","        int dia=10;
",// Entrada de datos
"package es.map.ipsc.bean;


/**
 * El Class TipoDocumentoBean.
 */
public class TipoDocumentoBean {
	
	/** el id tipo. */
	private String idTipo;
	
	/** el descripcion. */
	private String descripcion;
	
	/** el codigo tipo. */
	private String codigoTipo;
	
	/**
	 * Obtiene el id tipo.
	 *
	 * @return el id tipo
	 */
	public String getIdTipo() {
		return idTipo;
	}
	
	/**
	 * Establece el id tipo.
	 *
	 * @param idTipo el nuevo id tipo
	 */
	public void setIdTipo(String idTipo) {
		this.idTipo = idTipo;
	}
	
	/**
	 * Obtiene el descripcion.
	 *
	 * @return el descripcion
	 */
	public String getDescripcion() {
		return descripcion;
	}
	
	/**
	 * Establece el descripcion.
	 *
	 * @param descripcion el nuevo descripcion
	 */
	public void setDescripcion(String descripcion) {
		this.descripcion = descripcion;
	}
	
	/**
	 * Obtiene el codigo tipo.
	 *
	 * @return el codigo tipo
	 */
","	public String getCodigoTipo() {
",public String getCodigoTipo() {
"package es.map.ipsc.bean;


/**
 * El Class TipoDocumentoBean.
 */
public class TipoDocumentoBean {
	
	/** el id tipo. */
","	private String idTipo;
",private Integer idTipo;
"package es.map.ipsc.bean;


/**
 * El Class TipoDocumentoBean.
 */
public class TipoDocumentoBean {
	
	/** el id tipo. */
	private String idTipo;
	
	/** el descripcion. */
	private String descripcion;
	
	/** el codigo tipo. */
	private String codigoTipo;
	
	/**
	 * Obtiene el id tipo.
	 *
	 * @return el id tipo
	 */
","	public String getIdTipo() {
",public String getIdTipo() {
"package es.map.ipsc.bean;


/**
 * El Class TipoDocumentoBean.
 */
public class TipoDocumentoBean {
	
	/** el id tipo. */
	private String idTipo;
	
	/** el descripcion. */
	private String descripcion;
	
	/** el codigo tipo. */
","	private String codigoTipo;
",private String codigoTipo;
"package es.map.ipsc.bean;


/**
 * El Class TipoDocumentoBean.
 */
public class TipoDocumentoBean {
	
	/** el id tipo. */
	private String idTipo;
	
	/** el descripcion. */
	private String descripcion;
	
	/** el codigo tipo. */
	private String codigoTipo;
	
	/**
	 * Obtiene el id tipo.
	 *
	 * @return el id tipo
	 */
	public String getIdTipo() {
		return idTipo;
	}
	
	/**
	 * Establece el id tipo.
	 *
	 * @param idTipo el nuevo id tipo
	 */
	public void setIdTipo(String idTipo) {
		this.idTipo = idTipo;
	}
	
	/**
	 * Obtiene el descripcion.
	 *
	 * @return el descripcion
	 */
","	public String getDescripcion() {
",public String getDescripcion() {
