context,truth,prediction
"<fim_prefix>/**<fim_suffix>
package br.com.hslife.orcamento.component;

import org.springframework.beans.factory.annotation.Autowired;
import org.springframework.stereotype.Component;

import br.com.hslife.orcamento.entity.Usuario;
import br.com.hslife.orcamento.facade.INotificacaoSistema;

@Component
public class NotificacaoSistemaComponent {

    @Autowired
    private INotificacaoSistema notificacaoSistemaService;

    public INoti<fim_middle>","*

Copyright (c) 2012 - 2021 Hércules S. S. José

Este arquivo é parte do programa Orçamento Doméstico.


Orçamento Doméstico é um software livre; você pode redistribui-lo e/ou

modificá-lo dentro dos termos da Licença Pública Geral Menor GNU como

publicada pela Fundação do Software Livre (FSF); na versão 3.0 da

Licença.


Este programa é distribuído na esperança que possa ser útil, mas SEM

NENHUMA GARANTIA; sem uma garantia implícita de ADEQUAÇÃO a qualquer

MERCADO ou APLICAÇÃO EM PARTICULAR. Veja a Licença Pública Geral Menor

GNU em português para maiores detalhes.


Você deve ter recebido uma cópia da Licença Pública Geral Menor GNU sob

o nome de ""LICENSE"" junto com este programa, se não, acesse o site do

projeto no endereco https://github.com/herculeshssj/orcamento ou escreva

para a Fundação do Software Livre(FSF) Inc., 51 Franklin St, Fifth Floor,

Boston, MA  02110-1301, USA.


Para mais informações sobre o programa Orçamento Doméstico e seu autor

entre em contato pelo e-mail herculeshssj@outlook.com, ou ainda escreva

para Hércules S. S. José, Rua José dos Anjos, 160 - Bl. 3 Apto. 304 -

Jardim Alvorada - CEP: 26261-130 - Nova Iguaçu, RJ, Brasil.

***/","
 * 
 * @author <NAME>
 *
 */"
"<fim_prefix>package ltd.kumo.plutomc.framework.shared.command.arguments;

import ltd.kumo.plutomc.framework.shared.command.Argument;

/**<fim_suffix>
public abstract class ArgumentBoolean implements Argument<Boolean> {
}
<fim_middle>","
 * 布尔值参数
 */","
 * 布尔型参数
 *"
"<fim_prefix>/**<fim_suffix>
package it.unimi.di.j4im.notazione;<fim_middle>","
 * Contiene classi utili a rappresentare i simboli della notazione musicale e le loro caratteristiche.
 */","
 * @author <NAME>
 */"
"<fim_prefix>package bGLOOP;

/**<fim_suffix>
interface IGLSubdivisable {
	/** Anzahl der polygonalen Unterteilungen des Modells. Jedem Objekt liegt ein
	 * Gittermodell zugrundeliegenden. Je größer die Anzahl der Unteilungen,
	 * desto feiner sind die Schattierungen auf der Oberfläche. Allerdings führt
	 * eine hohe Zahl von Polygonen in einer Szene zu langsamerer Darstellung
	 * und fallender Framerate.
	 * 
	 * @param pBreitengrade Anzahl der Unteil<fim_middle>"," Methoden, die von Objekten unterstützt werden, die in kleinere Polygone
 * unterteilbar sind.
 * @author R. Spillner
 */","
 * Interface für Objekte, die als Gittermodelle dargestellt werden können.
 * 
 * @author <NAME>
 *
 */"
"<fim_prefix>package bGLOOP;

/** Methoden, die von Objekten unterstützt werden, die in kleinere Polygone
 * unterteilbar sind.
 * @author R. Spillner
 */
interface IGLSubdivisable {
	/**<fim_suffix>
	public void setzeQualitaet(int pBreitengrade, int pLaengengrade);

	/** Anzahl der polygonalen Unterteilungen des Modells.
	 * 
	 * @see #setzeQualitaet(int,int)
	 * @param pUnterteilungen Anzahl der horizontalen und vertikalen
	 * Scheiben in der Unterteilung
	 */
	public void setzeQualitaet(int pUnterteilungen);
}
<fim_middle>"," Anzahl der polygonalen Unterteilungen des Modells. Jedem Objekt liegt ein
	 * Gittermodell zugrundeliegenden. Je größer die Anzahl der Unteilungen,
	 * desto feiner sind die Schattierungen auf der Oberfläche. Allerdings führt
	 * eine hohe Zahl von Polygonen in einer Szene zu langsamerer Darstellung
	 * und fallender Framerate.
	 * 
	 * @param pBreitengrade Anzahl der Unteilungen horizontalen Scheiben
	 * @param pLaengengrade Anzahl der Unteilungen vertikalen Scheiben
	 */"," Anzahl der horizontalen und vertikalen Scheiben in der
	 * Unterteilung.
	 * 
	 * @see #setzeQualitaet(int,int)
	 * @param pBreitengrade Anzahl der horizontalen Scheiben in der
	 * Unterteilung
	 * @param pLaengengrade Anzahl der vertikalen Scheiben in der
	 * Unterteilung
	 */"
"<fim_prefix>lungen,
	 * desto feiner sind die Schattierungen auf der Oberfläche. Allerdings führt
	 * eine hohe Zahl von Polygonen in einer Szene zu langsamerer Darstellung
	 * und fallender Framerate.
	 * 
	 * @param pBreitengrade Anzahl der Unteilungen horizontalen Scheiben
	 * @param pLaengengrade Anzahl der Unteilungen vertikalen Scheiben
	 */
	public void setzeQualitaet(int pBreitengrade, int pLaengengrade);

	/**<fim_suffix>
	public void setzeQualitaet(int pUnterteilungen);
}
<fim_middle>"," Anzahl der polygonalen Unterteilungen des Modells.
	 * 
	 * @see #setzeQualitaet(int,int)
	 * @param pUnterteilungen Anzahl der horizontalen und vertikalen
	 * Scheiben in der Unterteilung
	 */","
	 * Setzt die Anzahl der Unterteilungen der Oberfläche.
	 * 
	 * @param pUnterteilungen Anzahl der Unterteilungen
	 */"
"<fim_prefix>package org.foa.data.combinationdata;

/**<fim_suffix>
public interface CombinationCustom {
}
<fim_middle>","
 * @author 王川源
 */","
 *
 * @author <NAME>
"
"<fim_prefix>package insert;

import interf.SortImpl;

/**<fim_suffix>
public class InsertSort extends SortImpl {

    @Override
    public void sort(int[] arr) {
        if (null == arr || 1 >= arr.length) return;

        for (int i = 1; i < arr.length; i++) {
            insert(arr, i);
        }
    }

    private void insert(int[] arr, int i){
        int x = arr[i], j;
        for (j = i - 1; j >= 0; j--) {
            if (x < arr[j]){
                arr[j + 1] = arr[j]<fim_middle>","
 * 插入排序
 */","
 * @author 余修"
"<fim_prefix>package moe.ahao.process.management.enums;

import lombok.AllArgsConstructor;
import lombok.Getter;

import java.util.HashSet;
import java.util.Set;

/**<fim_suffix>
@Getter
@AllArgsConstructor
public enum ProcessEnableEnum {
    ENABLE(1, ""启用""),
    DISABLE(0, ""禁用"");

    private final Integer code;
    private final String msg;

    public static Set<Integer> allowableValues() {
        Set<Integer> allowableValues = new HashSet<>(values().length);
        for (ProcessEnableEnum typeEnum : values()) {
            allowableValues.add(typeEnum.getCode());
        }
    <fim_middle>","
 * 流程启用/禁用类型
 */","
 * 流程启用状态
 *
 *"
"<fim_prefix>package com.github.mybatis.easy.go.windowFunctions.frame;

/**<fim_suffix>
public class Preceding extends Frame{
    int rows;

    public Preceding(int rows) {
        this.rows = rows;
    }

    public long getRows() {
        return rows;
    }

    public void setRows(int rows) {
        this.rows = rows;
    }
}
<fim_middle>","
 * 往前row行
 */","
 * @author will
 */"
"<fim_prefix>package cn.maple.core.datasource.event;

import cn.hutool.core.lang.Dict;
import cn.maple.core.framework.event.GXBaseEvent;

/**<fim_suffix>
public class GXMyBatisModelSaveBatchEntityEvent<M extends Dict> extends GXBaseEvent<M> {
    public GXMyBatisModelSaveBatchEntityEvent(M source) {
        super(source);
    }

    public GXMyBatisModelSaveBatchEntityEvent(M source, String eventType) {
        super(source, eventType);
    }

    public GXMyBatisModelSaveBatchEntityEvent(M source, String eventType, Dict param) {
        super(source, eventT<fim_middle>","
 * 数据已经更新数据库事件
 */","
 * @author maple
 * @"
"<fim_prefix>package com.fit2cloud.constants;


/**<fim_suffix>
public enum OptimizationRuleConditionTypeConstants {
    /**
     * 并且
     */
    AND,
    /**
     * 或者
     */
    OR
}
<fim_middle>","
 * 描述：优化规则条件类型常量
 * @author jianneng
 */","
 * 优化规则条件类型
 *
 * @author phuzz
 */"
"<fim_prefix>package com.fit2cloud.constants;


/**
 * 描述：优化规则条件类型常量
 * @author jianneng
 */
public enum OptimizationRuleConditionTypeConstants {
    /**<fim_suffix>
    AND,
    /**
     * 或者
     */
    OR
}
<fim_middle>","
     * 并且
     */","
     * 并且
     */"
"<fim_prefix>package com.fit2cloud.constants;


/**
 * 描述：优化规则条件类型常量
 * @author jianneng
 */
public enum OptimizationRuleConditionTypeConstants {
    /**
     * 并且
     */
    AND,
    /**<fim_suffix>
    OR
}
<fim_middle>","
     * 或者
     */","
     * 或者
     */"
"<fim_prefix>package com.yunzhou.tdinformation.mine.red;

/*<fim_suffix>

public interface IRedListener {
    /**
     * 切换看无效红包
     */
    void onClickCheckUselessRed();
}
<fim_middle>","
 *  @项目名：  project 
 *  @包名：    com.yunzhou.tdinformation.mine.red
 *  @文件名:   IRedListener
 *  @创建者:   lz
 *  @创建时间:  2018/11/13 17:22
 *  @描述：    交互接口
 */","*
 * @description:
 * @version: V1.0
 * @author: 林智直
 * @date: 2020/5/27 17:06
 */"
"<fim_prefix>package com.yunzhou.tdinformation.mine.red;

/*
 *  @项目名：  project 
 *  @包名：    com.yunzhou.tdinformation.mine.red
 *  @文件名:   IRedListener
 *  @创建者:   lz
 *  @创建时间:  2018/11/13 17:22
 *  @描述：    交互接口
 */

public interface IRedListener {
    /**<fim_suffix>
    void onClickCheckUselessRed();
}
<fim_middle>","
     * 切换看无效红包
     */","
     * 红包点击事件
     */"
"<fim_prefix>/**
 * 
 */
package com.smartsnow.smartpdftoprinter;

/**
 * 应用的实现接口
 * 
 * @author Shandy
 *
 */
public interface Application {
	/**
	 * 执行接口,args为入参信息
	 * */
	int run();
	/**<fim_suffix>
	void end();
}
<fim_middle>",应用退出*/,"
	 *"
"<fim_prefix>/**
 * 
 */
package com.smartsnow.smartpdftoprinter;

/**<fim_suffix>
public interface Application {
	/**
	 * 执行接口,args为入参信息
	 * */
	int run();
	/**应用退出*/
	void end();
}
<fim_middle>","
 * 应用的实现接口
 * 
 * @author Shandy
 *
 */","
 * @author Administrator
 *
 */"
"<fim_prefix>/**
 * 
 */
package com.smartsnow.smartpdftoprinter;

/**
 * 应用的实现接口
 * 
 * @author Shandy
 *
 */
public interface Application {
	/**<fim_suffix>
	int run();
	/**应用退出*/
	void end();
}
<fim_middle>","
	 * 执行接口,args为入参信息
	 * */",应用启动*/
"<fim_prefix>package com.steven.solomon.service;

import com.steven.solomon.properties.FileChoiceProperties;

/**<fim_suffix>
public class KS3Service extends S3Service {

  public KS3Service(FileChoiceProperties properties) {
    super(properties);
  }

}
<fim_middle>","
 * 金山云文件实现类
 */","
 * @author steven
 * @desc
"
"<fim_prefix>package org.haic.often.tuple.record;

/**<fim_suffix>
public record ThreeTuple<A, B, C>(A first, B second, C third) {}
<fim_middle>","
 * Tuple的实现,用于记录多个参数
 */","
 * @author <NAME>
 * @version"
"<fim_prefix>package info.ozkan.vipera.views.patient;

import info.ozkan.vipera.entities.Sex;

import javax.inject.Named;

/**<fim_suffix>
@Named(""sexList"")
public class SexListBean {
    /**
     * Cinsiyet listesini dizi olarak dönderir
     * 
     * @return
     */
    public Sex[] getSexList() {
        return Sex.values();
    }
}
<fim_middle>","
 * Cinsiyet listesi
 * 
 * @author Ömer Özkan
 * 
 */","
 * Cinsiyet listesini döndürür
 * 
 * @author <NAME>
 *"
"<fim_prefix>package info.ozkan.vipera.views.patient;

import info.ozkan.vipera.entities.Sex;

import javax.inject.Named;

/**
 * Cinsiyet listesi
 * 
 * @author Ömer Özkan
 * 
 */
@Named(""sexList"")
public class SexListBean {
    /**<fim_suffix>
    public Sex[] getSexList() {
        return Sex.values();
    }
}
<fim_middle>","
     * Cinsiyet listesini dizi olarak dönderir
     * 
     * @return
     */","
     * Cinsiyet listesi
     */"
"<fim_prefix>package net.nanxu.payment.channel;

import net.nanxu.payment.channel.model.CallbackRequest;
import net.nanxu.payment.channel.model.CallbackResult;
import reactor.core.publisher.Mono;

/**<fim_suffix>
public interface IPaymentCallback {
    /**
     * 支付回调
     */
    Mono<CallbackResult> callback(CallbackRequest request);

}
<fim_middle>","
 * 第三方支付插件回调.
 *
 * @author: P
 **/","
 * 支付回调
 *
 * @author Nan
 * @date 2020/"
"<fim_prefix>package net.nanxu.payment.channel;

import net.nanxu.payment.channel.model.CallbackRequest;
import net.nanxu.payment.channel.model.CallbackResult;
import reactor.core.publisher.Mono;

/**
 * 第三方支付插件回调.
 *
 * @author: P
 **/
public interface IPaymentCallback {
    /**<fim_suffix>
    Mono<CallbackResult> callback(CallbackRequest request);

}
<fim_middle>","
     * 支付回调
     */","
     * 支付回调.
    "
"<fim_prefix>package com.ozguryazilim.tekir.entities;

/**<fim_suffix>
public enum ApplicantWorkType {
    
    WORK,
    INTERNSHIP,
    VOLUNTEER_WORK
}
<fim_middle>","
 *  İş Türü Tipleri
 * @author serdar
 */","
 * Created by <NAME> on 02.02.2016.
 */"
"<fim_prefix>package com.minlia.iot.marshal.deserialize;

import com.minlia.iot.body.response.StatefulApiResponseBody;
import com.minlia.iot.context.ApiRuntimeContext;
import com.minlia.iot.marshal.ApiMarshalWrappedBody;

/**<fim_suffix>
public interface ApiDeserializer<RESPONSE> {

  StatefulApiResponseBody<RESPONSE> deserialize(ApiMarshalWrappedBody body,ApiRuntimeContext context);

}
<fim_middle>","
 * 反序列化器
 */","
 * @author will
 */"
"<fim_prefix>package algorithm.day02;

/**<fim_suffix>
public class Test02 {

    /**
     * 主要思想：
     * 与运算
     * 任何数与自己相反数
     * @param args
     */
    public static void main(String[] args) {
        //二进制为 1010 == 10
        int i = 10;
        int j = i & -i;
        //输出2  0010 == 2
        System.out.println(j);

    }
}
<fim_middle>","
 * 怎么找到一个int类型二进制最右侧的1
 *
 * @author wuyj
 * @date 2021/11/11 9:46 下午
 */","
 * @author: mayuan
 * @desc:
 * @date: 2018/08/07
 */"
"<fim_prefix>package algorithm.day02;

/**
 * 怎么找到一个int类型二进制最右侧的1
 *
 * @author wuyj
 * @date 2021/11/11 9:46 下午
 */
public class Test02 {

    /**<fim_suffix>
    public static void main(String[] args) {
        //二进制为 1010 == 10
        int i = 10;
        int j = i & -i;
        //输出2  0010 == 2
        System.out.println(j);

    }
}
<fim_middle>","
     * 主要思想：
     * 与运算
     * 任何数与自己相反数
     * @param args
     */","
     * 思路：
     * 1. 取出i的二进制最右侧的1
     * 2. 然后将i与这个1进行与运算，"
"<fim_prefix>package cn.foxtech.device.protocol.v1.core.template;

import java.util.Map;
import java.util.concurrent.ConcurrentHashMap;

public class TemplateFactory {
    private static final Map<String, TemplateContainer> map = new ConcurrentHashMap<>();

    /**<fim_suffix>
    public static TemplateContainer getTemplate(String protocolModelName) {
        TemplateContainer template = map.get(protocolModelName);
        if (template == null) {
            template = new TemplateContainer();
            map.put(protocolModelName, template);
        }

        return template;
    }
}
<fim_middle>","
     * 协议模块名称
     *
     * @param protocolModelName 协议模型明名称
     * @return 模板容器
     */","
     * 获取模板
     *
     * @param protocolModelName 模板名称
     * @return 模板
     */"
"<fim_prefix>package com.mquan86.pattern.creational.factory.example;

/**<fim_suffix>
public enum FileType {
    TEXT_FILE, XML_FILE
}
<fim_middle>","
 * @author Minh Quan Pham (mquan86@gmail.com)
 *
 */","
 * @author angus
 * @date 2018/12/28
 */"
"<fim_prefix>package unstudio.chinacraft.util.annotation.register;

import net.minecraft.item.ItemBlock;

import java.lang.annotation.*;

@Target(ElementType.FIELD)
@Retention(RetentionPolicy.RUNTIME)
@Documented
public @interface Register {
    /**<fim_suffix>
    String value();

    /**
     * @return 物品Class,默认构造方法只能有一个Block参数
     */
    Class<? extends ItemBlock> itemClass() default ItemBlock.class;


    /**
     * @return 矿物词典
     */
    String ore() default """";
}<fim_middle>","
     * @return 物品或方块的名字
     */","
     * @return 物品名称
     */"
"<fim_prefix>package unstudio.chinacraft.util.annotation.register;

import net.minecraft.item.ItemBlock;

import java.lang.annotation.*;

@Target(ElementType.FIELD)
@Retention(RetentionPolicy.RUNTIME)
@Documented
public @interface Register {
    /**
     * @return 物品或方块的名字
     */
    String value();

    /**<fim_suffix>
    Class<? extends ItemBlock> itemClass() default ItemBlock.class;


    /**
     * @return 矿物词典
     */
    String ore() default """";
}<fim_middle>","
     * @return 物品Class,默认构造方法只能有一个Block参数
     */","
     * @return 物品或方块的id
     */"
"<fim_prefix>o.chinacraft.util.annotation.register;

import net.minecraft.item.ItemBlock;

import java.lang.annotation.*;

@Target(ElementType.FIELD)
@Retention(RetentionPolicy.RUNTIME)
@Documented
public @interface Register {
    /**
     * @return 物品或方块的名字
     */
    String value();

    /**
     * @return 物品Class,默认构造方法只能有一个Block参数
     */
    Class<? extends ItemBlock> itemClass() default ItemBlock.class;


    /**<fim_suffix>
    String ore() default """";
}<fim_middle>","
     * @return 矿物词典
     */","
     * @return 矿物名称
     */"
"<fim_prefix>package cn.maple.core.framework.service;

public interface GXDynamicCallMethodService {
    /**<fim_suffix>
    Object call(String serviceClassName, String methodName, Object... parameters);

    /**
     * 动态调用指定服务的参数
     *
     * @param target     目标对象
     * @param methodName 方法的名字
     * @param parameters 方法参数
     * @return Object
     */
    Object call(Object target, String methodName, Object... parameters);
}
<fim_middle>","
     * 动态调用指定服务的参数
     *
     * @param serviceClassName 服务类的名字
     * @param methodName       方法的名字
     * @param parameters       方法参数
     * @return Object
     */","
     * 动态调用指定服务
     *
     * @param serviceClassName 服务的类名
     * @param methodName       方法的名字
     * @param parameters       方法参数
     * @return Object
     */"
"<fim_prefix>package cn.maple.core.framework.service;

public interface GXDynamicCallMethodService {
    /**
     * 动态调用指定服务的参数
     *
     * @param serviceClassName 服务类的名字
     * @param methodName       方法的名字
     * @param parameters       方法参数
     * @return Object
     */
    Object call(String serviceClassName, String methodName, Object... parameters);

    /**<fim_suffix>
    Object call(Object target, String methodName, Object... parameters);
}
<fim_middle>","
     * 动态调用指定服务的参数
     *
     * @param target     目标对象
     * @param methodName 方法的名字
     * @param parameters 方法参数
     * @return Object
     */","
     * 动态调用指定服务的参数
     *
     * @param target           目标对象
     * @param methodName       方法的名字
     * @param parameters     "
"<fim_prefix>package com.kao.server.dto;

import java.io.Serializable;

/**<fim_suffix>
public class TutorFavorBase implements Serializable {

    private String tutCid;
    private String tutTid;

    public String getTutCid() {
        return tutCid;
    }

    public void setTutCid(String tutCid) {
        this.tutCid = tutCid;
    }

    public String getTutTid() {
        return tutTid;
    }

    public void setTutTid(String tutTid) {
        this.tutTid = tutTid;
    }
}
<fim_middle>","
 * @author 沈伟峰
 */","
 * @Auther: <NAME>
 *"
"<fim_prefix>package taokdao.api.plugin.bean;

public enum PluginActions {
    /**
     * 升级降级
     * 版本最新的插件才会调用，而且是直接调用
     * 不走onCreate流程
     * onUpGrade在新安装的插件中调用
     * onDownGrade在旧的插件中调用
     */
    onUpGrade, onDownGrade,
    /**
     * 创建销毁
     */
    onCreate, onDestroy,
    /**<fim_suffix>
    onInit, onCall,
    /**
     * 暂停，恢复
     */
    onPause, onResume,
    /**
     * 被调用
     */
    onInvoke
}
<fim_middle>","
     * 初始化，触发
     */","
     * 初始化，调用
     */"
"<fim_prefix>package taokdao.api.plugin.bean;

public enum PluginActions {
    /**<fim_suffix>
    onUpGrade, onDownGrade,
    /**
     * 创建销毁
     */
    onCreate, onDestroy,
    /**
     * 初始化，触发
     */
    onInit, onCall,
    /**
     * 暂停，恢复
     */
    onPause, onResume,
    /**
     * 被调用
     */
    onInvoke
}
<fim_middle>","
     * 升级降级
     * 版本最新的插件才会调用，而且是直接调用
     * 不走onCreate流程
     * onUpGrade在新安装的插件中调用
     * onDownGrade在旧的插件中调用
     */","
     * 升级，降级
     */"
"<fim_prefix>package taokdao.api.plugin.bean;

public enum PluginActions {
    /**
     * 升级降级
     * 版本最新的插件才会调用，而且是直接调用
     * 不走onCreate流程
     * onUpGrade在新安装的插件中调用
     * onDownGrade在旧的插件中调用
     */
    onUpGrade, onDownGrade,
    /**<fim_suffix>
    onCreate, onDestroy,
    /**
     * 初始化，触发
     */
    onInit, onCall,
    /**
     * 暂停，恢复
     */
    onPause, onResume,
    /**
     * 被调用
     */
    onInvoke
}
<fim_middle>","
     * 创建销毁
     */","
     * 创建，销毁
    "
"<fim_prefix>package taokdao.api.plugin.bean;

public enum PluginActions {
    /**
     * 升级降级
     * 版本最新的插件才会调用，而且是直接调用
     * 不走onCreate流程
     * onUpGrade在新安装的插件中调用
     * onDownGrade在旧的插件中调用
     */
    onUpGrade, onDownGrade,
    /**
     * 创建销毁
     */
    onCreate, onDestroy,
    /**
     * 初始化，触发
     */
    onInit, onCall,
    /**<fim_suffix>
    onPause, onResume,
    /**
     * 被调用
     */
    onInvoke
}
<fim_middle>","
     * 暂停，恢复
     */","
     * 暂停，恢复
     */"
"<fim_prefix>package taokdao.api.plugin.bean;

public enum PluginActions {
    /**
     * 升级降级
     * 版本最新的插件才会调用，而且是直接调用
     * 不走onCreate流程
     * onUpGrade在新安装的插件中调用
     * onDownGrade在旧的插件中调用
     */
    onUpGrade, onDownGrade,
    /**
     * 创建销毁
     */
    onCreate, onDestroy,
    /**
     * 初始化，触发
     */
    onInit, onCall,
    /**
     * 暂停，恢复
     */
    onPause, onResume,
    /**<fim_suffix>
    onInvoke
}
<fim_middle>","
     * 被调用
     */","
     * 插件调用
    "
